2024-11-08 16:06:10.960 [info] Starting Python Locator /home/blackjack/.vscode-server/extensions/ms-python.python-2024.18.0-linux-armhf/python-env-tools/bin/pet server
2024-11-08 16:06:11.924 [info] Discovered env: /usr/bin/python
2024-11-08 16:06:12.243 [info] Discovered env: /bin/python
2024-11-08 16:06:12.290 [info] Locator Conda took 1.723747504s
2024-11-08 16:06:12.291 [info] Locator Homebrew took 6.40881ms
2024-11-08 16:06:12.292 [info] Locator LinuxGlobal took 1.602045486s
2024-11-08 16:06:12.293 [info] Locator PipEnv took 67.916µs
2024-11-08 16:06:12.295 [info] Locator Poetry took 21.874171ms
2024-11-08 16:06:12.296 [info] Locator PyEnv took 36.935004ms
2024-11-08 16:06:12.298 [info] Locator Venv took 1.630926ms
2024-11-08 16:06:12.299 [info] Locator VirtualEnv took 3.02925ms
2024-11-08 16:06:12.300 [info] Locator VirtualEnvWrapper took 359.789µs
2024-11-08 16:06:12.302 [info] Locator GlobalVirtualEnvs took 10.659041ms
2024-11-08 16:06:12.303 [info] Locator Locators took 1.733430145s
2024-11-08 16:06:12.305 [info] Locator Path took 2.084687859s
2024-11-08 16:06:12.308 [info] Locator Workspaces took 77.239µs
2024-11-08 16:06:12.314 [info] Refresh completed in 2100ms
