2024-11-04 15:28:08.880 [info] Starting Python Locator /home/blackjack/.vscode-server/extensions/ms-python.python-2024.18.0-linux-armhf/python-env-tools/bin/pet server
2024-11-04 15:28:09.901 [info] Discovered env: /usr/bin/python
2024-11-04 15:28:09.906 [info] Discovered env: /bin/python
2024-11-04 15:28:10.644 [info] Locator Conda took 2.489691833s
2024-11-04 15:28:10.645 [info] Locator Homebrew took 4.154559ms
2024-11-04 15:28:10.646 [info] Locator LinuxGlobal took 2.238615552s
2024-11-04 15:28:10.646 [info] Locator PipEnv took 240.357µs
2024-11-04 15:28:10.647 [info] Locator Poetry took 9.974898ms
2024-11-04 15:28:10.648 [info] Locator PyEnv took 37.499823ms
2024-11-04 15:28:10.648 [info] Locator Venv took 36.874µs
2024-11-04 15:28:10.649 [info] Locator VirtualEnv took 65.519µs
2024-11-04 15:28:10.649 [info] Locator VirtualEnvWrapper took 124.111µs
2024-11-04 15:28:10.650 [info] Locator GlobalVirtualEnvs took 12.130196ms
2024-11-04 15:28:10.651 [info] Locator Locators took 2.490414674s
2024-11-04 15:28:10.652 [info] Locator Path took 2.421175571s
2024-11-04 15:28:10.652 [info] Locator Workspaces took 10.457695ms
2024-11-04 15:28:10.654 [info] Refresh completed in 2490ms
