2024-11-11 10:57:03.798 [info] Starting Python Locator /home/blackjack/.vscode-server/extensions/ms-python.python-2024.18.1-linux-armhf/python-env-tools/bin/pet server
2024-11-11 10:57:04.817 [info] Discovered env: /usr/bin/python
2024-11-11 10:57:04.821 [info] Discovered env: /bin/python
2024-11-11 10:57:04.831 [info] Locator Conda took 1.099395359s
2024-11-11 10:57:04.831 [info] Locator Homebrew took 7.160988ms
2024-11-11 10:57:04.832 [info] Locator LinuxGlobal took 881.541339ms
2024-11-11 10:57:04.832 [info] Locator PipEnv took 1.03113ms
2024-11-11 10:57:04.832 [info] Locator Poetry took 9.136896ms
2024-11-11 10:57:04.833 [info] Locator PyEnv took 19.686896ms
2024-11-11 10:57:04.833 [info] Locator Venv took 50.312µs
2024-11-11 10:57:04.833 [info] Locator VirtualEnv took 40.728µs
2024-11-11 10:57:04.834 [info] Locator VirtualEnvWrapper took 122.654µs
2024-11-11 10:57:04.834 [info] Locator GlobalVirtualEnvs took 3.618957ms
2024-11-11 10:57:04.834 [info] Locator Locators took 1.10030597s
2024-11-11 10:57:04.835 [info] Locator Path took 1.570347565s
2024-11-11 10:57:04.835 [info] Locator Workspaces took 30.709129ms
2024-11-11 10:57:04.837 [info] Refresh completed in 1571ms
